name,year,fg3,fg3a,fg3_pct
Zeke Nnaji,1,37.0,80.0,0.463
Andrés Nocioni,0,25.0,97.0,0.258
Andrés Nocioni,1,93.0,238.0,0.391
Andrés Nocioni,2,80.0,209.0,0.383
Andrés Nocioni,3,126.0,346.0,0.364
Andrés Nocioni,4,124.0,311.0,0.399
Andrés Nocioni,5,96.0,249.0,0.386
Andrés Nocioni,6,42.0,118.0,0.356
Steve Novak,0,13.0,39.0,0.333
Steve Novak,1,34.0,71.0,0.479
Steve Novak,2,119.0,286.0,0.416
Steve Novak,3,22.0,71.0,0.31
Steve Novak,4,26.0,46.0,0.565
Steve Novak,5,133.0,282.0,0.472
Steve Novak,6,149.0,351.0,0.425
Steve Novak,7,52.0,122.0,0.426
Steve Novak,8,19.0,48.0,0.396
Jaylen Nowell,0,3.0,26.0,0.115
Jaylen Nowell,1,50.0,150.0,0.333
Jaylen Nowell,2,63.0,160.0,0.394
Frank Ntilikina,0,50.0,157.0,0.318
Frank Ntilikina,1,33.0,115.0,0.287
Frank Ntilikina,2,44.0,137.0,0.321
Frank Ntilikina,3,23.0,48.0,0.479
Frank Ntilikina,4,38.0,111.0,0.342
Kendrick Nunn,0,137.0,391.0,0.35
Kendrick Nunn,1,122.0,320.0,0.381
Jusuf Nurkić,4,3.0,29.0,0.103
Jusuf Nurkić,6,12.0,30.0,0.4
Jusuf Nurkić,7,15.0,56.0,0.268
David Nwaba,1,18.0,52.0,0.346
David Nwaba,2,24.0,75.0,0.32
David Nwaba,3,12.0,28.0,0.429
David Nwaba,4,17.0,63.0,0.27
David Nwaba,5,15.0,49.0,0.306
Jordan Nwora,0,28.0,62.0,0.452
Jordan Nwora,1,79.0,227.0,0.348
Royce O'Neale,0,42.0,118.0,0.356
Royce O'Neale,1,68.0,176.0,0.386
Royce O'Neale,2,92.0,244.0,0.377
Royce O'Neale,3,107.0,278.0,0.385
Royce O'Neale,4,119.0,306.0,0.389
Kyle O'Quinn,2,12.0,43.0,0.279
Kyle O'Quinn,7,7.0,27.0,0.259
Lamar Odom,0,59.0,164.0,0.36
Lamar Odom,1,80.0,253.0,0.316
Lamar Odom,2,16.0,84.0,0.19
Lamar Odom,3,42.0,129.0,0.326
Lamar Odom,4,61.0,205.0,0.298
Lamar Odom,5,36.0,117.0,0.308
Lamar Odom,6,80.0,215.0,0.372
